market,arrival_date,price
Barwala,15-01-2016,386
Bengaluru (CC),15-01-2016,405
Brahmapur (OD),15-01-2016,
Burdwan (CC),15-01-2016,
Chennai (CC),15-01-2016,420
Ahmedabad,15-01-2016,430
Namakkal,15-01-2016,402
E.Godavari,15-01-2016,384
Hyderabad,15-01-2016,385
Ludhiana,15-01-2016,386
Midnapur (KOL),15-01-2016,
Mumbai (CC),15-01-2016,425
Muzaffurpur (CC),15-01-2016,
Mysuru,15-01-2016,422
Delhi (CC),15-01-2016,400
Warangal,16-01-2016,388
W.Godavari,16-01-2016,384
Pune,16-01-2016,420
Vijayawada,16-01-2016,384
Ranchi (CC),16-01-2016,
Allahabad (CC),16-01-2016,405
Vizag,16-01-2016,392
Bhopal,16-01-2016,420
Varanasi (CC),16-01-2016,427
Indore (CC),16-01-2016,405
Jabalpur,16-01-2016,400
Kolkata (WB),16-01-2016,424
Luknow (CC),16-01-2016,440
Raipur,16-01-2016,410
Surat,16-01-2016,
Patna,16-01-2016,
Hospet,16-01-2016,372
Kanpur (CC),16-01-2016,433
Namakkal,16-01-2016,402
Mysuru,16-01-2016,422
Nagpur,16-01-2016,387
Ahmedabad,16-01-2016,430
Ajmer,16-01-2016,378
Asansole,16-01-2016,
Barwala,16-01-2016,386
Brahmapur (OD),16-01-2016,
Burdwan (CC),16-01-2016,
Chennai (CC),16-01-2016,420
Bengaluru (CC),16-01-2016,405
Delhi (CC),16-01-2016,400
E.Godavari,16-01-2016,384
Hyderabad,16-01-2016,385
Ludhiana,16-01-2016,386
Midnapur (KOL),16-01-2016,
Mumbai (CC),16-01-2016,425
Muzaffurpur (CC),16-01-2016,
Chittoor,16-01-2016,413
Bhopal,17-01-2016,410
Ranchi (CC),17-01-2016,
Vijayawada,17-01-2016,384
Vizag,17-01-2016,392
W.Godavari,17-01-2016,384
Warangal,17-01-2016,388
Allahabad (CC),17-01-2016,405
Hospet,17-01-2016,372
Pune,17-01-2016,420
Jabalpur,17-01-2016,400
Kanpur (CC),17-01-2016,424
Kolkata (WB),17-01-2016,419
Luknow (CC),17-01-2016,432
Raipur,17-01-2016,405
Surat,17-01-2016,
Varanasi (CC),17-01-2016,427
Indore (CC),17-01-2016,400
Patna,17-01-2016,
Chittoor,17-01-2016,413
Nagpur,17-01-2016,383
Ahmedabad,17-01-2016,430
Ajmer,17-01-2016,378
Asansole,17-01-2016,
Barwala,17-01-2016,386
Bengaluru (CC),17-01-2016,405
Brahmapur (OD),17-01-2016,
Burdwan (CC),17-01-2016,
Chennai (CC),17-01-2016,420
Namakkal,17-01-2016,402
Delhi (CC),17-01-2016,400
E.Godavari,17-01-2016,384
Hyderabad,17-01-2016,385
Ludhiana,17-01-2016,385
Midnapur (KOL),17-01-2016,
Mumbai (CC),17-01-2016,425
Muzaffurpur (CC),17-01-2016,
Mysuru,17-01-2016,422
Ranchi (CC),18-01-2016,
Vijayawada,18-01-2016,377
W.Godavari,18-01-2016,377
Warangal,18-01-2016,388
Allahabad (CC),18-01-2016,414
Bhopal,18-01-2016,410
Hospet,18-01-2016,372
Kolkata (WB),18-01-2016,409
Jabalpur,18-01-2016,395
Kanpur (CC),18-01-2016,424
Pune,18-01-2016,420
Luknow (CC),18-01-2016,432
Raipur,18-01-2016,405
Surat,18-01-2016,
Varanasi (CC),18-01-2016,427
Indore (CC),18-01-2016,400
Patna,18-01-2016,
Vizag,18-01-2016,385
Ahmedabad,18-01-2016,430
Nagpur,18-01-2016,380
Ajmer,18-01-2016,378
Asansole,18-01-2016,
Barwala,18-01-2016,386
Bengaluru (CC),18-01-2016,405
Brahmapur (OD),18-01-2016,
Burdwan (CC),18-01-2016,
Chennai (CC),18-01-2016,420
Chittoor,18-01-2016,413
Namakkal,18-01-2016,402
E.Godavari,18-01-2016,377
Hyderabad,18-01-2016,385
Ludhiana,18-01-2016,380
Midnapur (KOL),18-01-2016,
Mumbai (CC),18-01-2016,425
Muzaffurpur (CC),18-01-2016,
Mysuru,18-01-2016,422
Delhi (CC),18-01-2016,400
Pune,19-01-2016,420
Ranchi (CC),19-01-2016,
Vijayawada,19-01-2016,377
Vizag,19-01-2016,385
W.Godavari,19-01-2016,377
Warangal,19-01-2016,388
Allahabad (CC),19-01-2016,414
Bhopal,19-01-2016,410
Kanpur (CC),19-01-2016,424
Indore (CC),19-01-2016,400
Jabalpur,19-01-2016,397
Kolkata (WB),19-01-2016,409
Luknow (CC),19-01-2016,430
Raipur,19-01-2016,397
Surat,19-01-2016,
Varanasi (CC),19-01-2016,427
Hospet,19-01-2016,372
Patna,19-01-2016,
Namakkal,19-01-2016,402
Mysuru,19-01-2016,422
Ahmedabad,19-01-2016,415
Ajmer,19-01-2016,375
Asansole,19-01-2016,
Barwala,19-01-2016,386
Bengaluru (CC),19-01-2016,405
Brahmapur (OD),19-01-2016,
Burdwan (CC),19-01-2016,
Chennai (CC),19-01-2016,420
Nagpur,19-01-2016,380
Delhi (CC),19-01-2016,393
E.Godavari,19-01-2016,377
Hyderabad,19-01-2016,385
Ludhiana,19-01-2016,375
Midnapur (KOL),19-01-2016,
Mumbai (CC),19-01-2016,425
Muzaffurpur (CC),19-01-2016,
Chittoor,19-01-2016,413
Pune,20-01-2016,420
Ranchi (CC),20-01-2016,
Vijayawada,20-01-2016,372
Vizag,20-01-2016,380
W.Godavari,20-01-2016,372
Warangal,20-01-2016,388
Allahabad (CC),20-01-2016,419
Bhopal,20-01-2016,410
Kanpur (CC),20-01-2016,423
Indore (CC),20-01-2016,400
Jabalpur,20-01-2016,395
Kolkata (WB),20-01-2016,409
Luknow (CC),20-01-2016,430
Raipur,20-01-2016,397
Surat,20-01-2016,
Patna,20-01-2016,
Hospet,20-01-2016,362
Varanasi (CC),20-01-2016,427
Namakkal,20-01-2016,402
Mysuru,20-01-2016,422
Nagpur,20-01-2016,375
Ahmedabad,20-01-2016,415
Ajmer,20-01-2016,378
Asansole,20-01-2016,
Barwala,20-01-2016,386
Brahmapur (OD),20-01-2016,
Burdwan (CC),20-01-2016,
Chennai (CC),20-01-2016,420
Bengaluru (CC),20-01-2016,395
Delhi (CC),20-01-2016,393
E.Godavari,20-01-2016,372
Hyderabad,20-01-2016,385
Ludhiana,20-01-2016,375
Midnapur (KOL),20-01-2016,
Mumbai (CC),20-01-2016,425
Muzaffurpur (CC),20-01-2016,
Chittoor,20-01-2016,413
Bhopal,21-01-2016,410
Ranchi (CC),21-01-2016,
Vijayawada,21-01-2016,372
Vizag,21-01-2016,380
W.Godavari,21-01-2016,372
Warangal,21-01-2016,378
Allahabad (CC),21-01-2016,414
Hospet,21-01-2016,362
Pune,21-01-2016,410
Jabalpur,21-01-2016,395
Kanpur (CC),21-01-2016,423
Kolkata (WB),21-01-2016,412
Luknow (CC),21-01-2016,430
Raipur,21-01-2016,397
Surat,21-01-2016,
Varanasi (CC),21-01-2016,427
Indore (CC),21-01-2016,400
